date,reviews,avg_rating
2024-08-31,1,5.0
2024-09-02,1,3.0
2024-09-12,1,5.0
2024-10-06,2,1.5
2024-10-07,1,1.0
2024-10-15,1,3.0
2024-10-16,1,4.0
2024-10-23,1,5.0
2024-10-28,1,3.0
2024-11-08,1,1.0
2024-11-18,1,4.0
2024-11-26,1,4.0
2024-11-30,2,5.0
2024-12-02,1,3.0
2024-12-05,1,5.0
2024-12-11,1,5.0
2025-01-18,1,5.0
2025-01-28,1,5.0
2025-01-30,1,2.0
2025-02-03,1,5.0
2025-02-05,2,1.0
2025-02-17,1,4.0
2025-02-23,1,5.0
2025-02-25,1,3.0
2025-02-28,1,4.0
2025-03-03,1,4.0
2025-03-12,1,2.0
2025-03-22,1,3.0
2025-03-24,1,5.0
2025-03-25,1,4.0
2025-03-30,1,1.0
2025-04-09,1,3.0
2025-04-12,1,3.0
2025-04-19,1,5.0
2025-04-27,1,1.0
2025-05-03,1,2.0
2025-05-16,1,1.0
2025-05-17,2,2.5
2025-05-20,1,2.0
2025-05-21,1,4.0
2025-06-08,1,5.0
2025-06-18,1,5.0
2025-06-23,2,4.5
2025-07-05,1,3.0
2025-07-15,1,3.0
2025-07-20,1,2.0
2025-07-22,1,2.0
2025-07-24,1,3.0
2025-07-25,1,3.0
2025-08-08,1,3.0
2025-08-11,1,5.0
2025-08-13,1,2.0
2025-09-01,1,1.0
2025-09-02,1,5.0
2025-09-15,1,1.0
2025-09-21,1,2.0
2025-09-24,1,1.0
2025-09-26,1,5.0
2025-09-28,1,1.0
2025-10-02,1,3.0
2025-10-09,1,5.0
2025-10-11,1,1.0
2025-10-15,2,3.5
2025-10-25,1,2.0
2025-10-26,1,4.0
2025-10-28,1,1.0
2025-11-02,1,2.0
2025-11-03,1,1.0
2025-11-04,2,1.5
2025-11-05,2,3.0
2025-11-07,5,2.8
2025-11-08,2,3.0
2025-11-09,2,1.5
2025-11-10,3,1.0
2025-11-11,1,4.0
2025-11-12,5,1.0
2025-11-13,1,5.0
2025-11-14,3,2.3333333333333335
2025-11-15,4,2.25
2025-11-16,1,4.0
2025-11-17,4,2.0
2025-11-19,2,1.0
2025-11-21,3,3.3333333333333335
2025-11-22,8,2.5
2025-11-23,4,3.75
2025-11-24,4,3.75
2025-11-25,6,2.8333333333333335
2025-11-26,1,5.0
2025-11-27,1,3.0
2025-11-28,3,3.0
2025-11-29,5,2.4
2025-11-30,3,2.6666666666666665
2025-12-01,4,2.5
2025-12-03,2,1.0
2025-12-04,3,2.3333333333333335
2025-12-05,2,3.5
2025-12-06,5,2.6
2025-12-08,3,3.3333333333333335
2025-12-09,5,3.2
2025-12-10,3,2.0
2025-12-11,4,2.75
2025-12-12,3,2.6666666666666665
2025-12-13,5,3.6
2025-12-14,3,3.6666666666666665
2025-12-15,3,2.3333333333333335
2025-12-16,4,2.75
2025-12-17,1,3.0
2025-12-18,8,2.5
2025-12-19,1,3.0
2025-12-20,5,2.0
2025-12-21,3,1.6666666666666667
2025-12-22,4,1.75
2025-12-23,3,3.6666666666666665
2025-12-25,4,3.0
2025-12-26,1,5.0
2025-12-27,1,5.0
2025-12-28,7,2.142857142857143
2025-12-31,5,2.6
2026-01-01,1,2.0
2026-01-02,3,3.6666666666666665
2026-01-03,2,1.0
2026-01-04,2,4.5
2026-01-05,5,2.2
2026-01-06,2,1.5
2026-01-07,2,1.0
2026-01-08,1,3.0
2026-01-09,2,3.0
2026-01-10,2,3.0
2026-01-11,4,2.0
2026-01-12,8,3.375
2026-01-13,8,3.25
2026-01-14,12,3.9166666666666665
2026-01-15,14,3.0714285714285716
2026-01-16,10,3.1
2026-01-17,18,3.2222222222222223
2026-01-18,17,3.0588235294117645
2026-01-19,23,2.739130434782609
2026-01-20,15,2.8
2026-01-21,7,3.4285714285714284
2026-01-26,1,3.0
2026-01-29,400,4.4125
